date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-10-10 03:45:00;45.0;0.0;10.2;0.0
2017-10-10 04:00:00;47.6;0.0;9.1;0.0
2017-10-10 04:15:00;47.7;0.0;10.1;2.0
2017-10-10 04:30:00;44.2;0.0;11.2;0.0
2017-10-10 04:45:00;44.9;0.0;16.9;0.0
2017-10-10 05:00:00;73.9;4.1;56.8;6.1
2017-10-10 05:15:00;59.6;3.0;23.3;6.1
2017-10-10 05:30:00;61.8;0.7;22.3;3.4
2017-10-10 05:45:00;47.6;0.0;9.1;0.0
2017-10-10 06:00:00;53.1;0.0;6.1;0.0
2017-10-10 06:15:00;57.5;0.0;4.1;0.0
2017-10-10 06:30:00;55.2;0.0;10.1;0.0
2017-10-10 06:45:00;54.5;0.0;9.1;1.0
2017-10-10 07:00:00;59.9;0.0;12.2;0.0
2017-10-10 07:15:00;53.2;0.0;8.1;0.7
2017-10-10 07:30:00;50.4;0.0;6.1;0.0
2017-10-10 07:45:00;54.5;0.0;17.3;2.0
2017-10-10 08:00:00;56.7;1.0;23.3;3.0
2017-10-10 08:15:00;45.4;0.0;21.0;0.0
2017-10-10 08:30:00;;0.0;18.3;1.0
2017-10-10 08:45:00;;0.0;13.2;4.1
2017-10-10 09:00:00;;0.0;17.3;0.7
2017-10-10 09:15:00;;0.0;18.3;0.0
2017-10-10 09:30:00;;1.0;15.2;4.1
2017-10-10 09:45:00;39.6;0.0;7.1;1.0
2017-10-10 10:00:00;33.5;0.0;6.8;1.0
2017-10-10 10:15:00;40.4;2.0;12.2;0.0
2017-10-10 10:30:00;36.2;0.0;7.1;3.0
2017-10-10 10:45:00;47.5;0.0;21.3;2.7
2017-10-10 11:00:00;44.6;2.0;16.2;3.0
2017-10-10 11:15:00;40.9;0.0;17.3;0.0
2017-10-10 11:30:00;50.3;6.1;7.1;11.2
2017-10-10 11:45:00;56.3;4.1;12.9;7.1
2017-10-10 12:00:00;30.4;0.0;12.2;1.0
2017-10-10 12:15:00;51.9;1.0;35.5;3.0
2017-10-10 12:30:00;59.9;2.0;33.5;8.1
2017-10-10 12:45:00;57.3;0.0;38.6;7.1
2017-10-10 13:00:00;47.5;2.0;9.1;8.1
2017-10-10 13:15:00;66.9;0.0;31.5;4.1
2017-10-10 13:30:00;72.6;3.0;46.0;5.1
2017-10-10 13:45:00;82.4;14.2;78.2;32.5
2017-10-10 14:00:00;75.6;17.3;52.8;28.4
2017-10-10 14:15:00;94.6;13.5;87.3;24.4
2017-10-10 14:30:00;94.3;34.5;80.2;47.7
2017-10-10 14:45:00;97.9;25.4;93.4;29.4
2017-10-10 15:00:00;115.0;35.5;111.6;53.8
2017-10-10 15:15:00;111.4;62.9;108.3;83.2
2017-10-10 15:30:00;105.9;35.5;95.4;58.9
2017-10-10 15:45:00;109.3;34.5;95.4;45.7
2017-10-10 16:00:00;121.0;64.3;110.6;87.3
2017-10-10 16:15:00;114.9;43.6;101.5;63.9
2017-10-10 16:30:00;112.3;35.5;112.7;54.8
2017-10-10 16:45:00;109.1;42.6;96.4;57.9
2017-10-10 17:00:00;107.6;45.7;110.3;58.9
2017-10-10 17:15:00;68.4;23.3;51.8;29.4
2017-10-10 17:30:00;21.6;0.0;1.0;0.0
2017-10-10 17:45:00;42.0;0.0;14.2;0.7
2017-10-10 18:00:00;45.6;0.0;33.5;0.0
2017-10-10 18:15:00;40.0;0.0;16.2;0.0
2017-10-10 18:30:00;48.1;0.0;17.3;0.0
2017-10-10 18:45:00;36.3;0.0;14.2;0.0
2017-10-10 19:00:00;30.1;0.0;5.1;0.0
2017-10-10 19:15:00;21.9;0.0;2.0;0.0
2017-10-10 19:30:00;31.1;0.0;4.1;0.0
2017-10-10 19:45:00;31.6;0.0;6.1;0.0
